Merchant,Vintage Index,FICO Bucket,New Accounts,growth_rate_applied
Merchant 2,19,Very Good (740-799),11270.808927744629,0.049068695666206454
Merchant 2,19,Good (670-739),8092.569680099542,0.049068695666206454
Merchant 2,19,Fair (580-669),4920.308936630192,0.049068695666206454
Merchant 2,19,Poor (300-579),2126.0225127156646,0.049068695666206454
Merchant 2,20,Exceptional (800-850),9150.29760507154,0.049068695666206454
Merchant 2,20,Very Good (740-799),11823.852820932092,0.049068695666206454
Merchant 2,20,Good (670-739),8489.661518889916,0.049068695666206454
Merchant 2,20,Fair (580-669),5161.7420784254155,0.049068695666206454
Merchant 2,20,Poor (300-579),2230.343664371613,0.049068695666206454
Merchant 2,21,Exceptional (800-850),9599.290773510016,0.049068695666206454
Merchant 2,21,Very Good (740-799),12404.033856604427,0.049068695666206454
Merchant 2,21,Good (670-739),8906.23813626943,0.049068695666206454
Merchant 2,21,Fair (580-669),5415.022029579124,0.049068695666206454
Merchant 2,21,Poor (300-579),2339.783718869716,0.049068695666206454
Merchant 3,14,Exceptional (800-850),3721.3623193145336,0.047703985442679876
Merchant 3,14,Very Good (740-799),5639.148448897373,0.047703985442679876
Merchant 3,14,Good (670-739),6650.050159067232,0.047703985442679876
Merchant 3,14,Fair (580-669),5187.274339051539,0.047703985442679876
Merchant 3,14,Poor (300-579),2332.5485427264707,0.047703985442679876
Merchant 3,15,Exceptional (800-850),3898.8861332220517,0.047703985442679876
Merchant 3,15,Very Good (740-799),5908.158304412685,0.047703985442679876
Merchant 3,15,Good (670-739),6967.284055048467,0.047703985442679876
Merchant 3,15,Fair (580-669),5434.727998608841,0.047703985442679876
Merchant 3,15,Poor (300-579),2443.8204044530385,0.047703985442679876
Merchant 3,16,Exceptional (800-850),4084.8785405639433,0.047703985442679876
Merchant 3,16,Very Good (740-799),6190.001002159436,0.047703985442679876
Merchant 3,16,Good (670-739),7299.651272185515,0.047703985442679876
Merchant 3,16,Fair (580-669),5693.9861839394025,0.047703985442679876
Merchant 3,16,Poor (300-579),2560.4003774515904,0.047703985442679876
Merchant 3,17,Exceptional (800-850),4279.7435269981215,0.047703985442679876
Merchant 3,17,Very Good (740-799),6485.288719856624,0.047703985442679876
Merchant 3,17,Good (670-739),7647.873730210494,0.047703985442679876
Merchant 3,17,Fair (580-669),5965.612017968869,0.047703985442679876
Merchant 3,17,Poor (300-579),2682.5416797849734,0.047703985442679876
Merchant 3,18,Exceptional (800-850),4483.904349908444,0.047703985442679876
Merchant 3,18,Very Good (740-799),6794.662838540242,0.047703985442679876
Merchant 3,18,Good (670-739),8012.70778730391,0.047703985442679876
Merchant 3,18,Fair (580-669),6250.195486830732,0.047703985442679876
Merchant 3,18,Poor (300-579),2810.509609026818,0.047703985442679876
Merchant 3,19,Exceptional (800-850),4697.804457742845,0.047703985442679876
Merchant 3,19,Very Good (740-799),7118.7953356778835,0.047703985442679876
Merchant 3,19,Good (670-739),8394.945882945904,0.047703985442679876
Merchant 3,19,Fair (580-669),6548.35472134841,0.047703985442679876
Merchant 3,19,Poor (300-579),2944.5821185023456,0.047703985442679876
Merchant 3,20,Exceptional (800-850),4921.908453207567,0.047703985442679876
Merchant 3,20,Very Good (740-799),7458.390244740479,0.047703985442679876
Merchant 3,20,Good (670-739),8795.41825913804,0.047703985442679876
Merchant 3,20,Fair (580-669),6860.7373396491175,0.047703985442679876
